ship_name;standardized_name
de Melckmeijdt;Melkmeid
de Melckmeijt;Melkmeid
de Melckmeydt;Melkmeid
de Melckmeyt;Melkmeid
de Melckmt.;Melkmeid
Melckmeyt;Melkmeid
Middelb.;Middelburg
Middelburgh;Middelburg
de Moor;Moor
de Morin;Morin
Muijden;Muiden
de Musch;Mus
Nassau;Nassau
Nassauw;Nassau
Nassou;Nassau
de Neptunis;Neptunus
de Neptunus;Neptunus
De Neptunus;Neptunus
den Neptunis;Neptunus
den Neptunus;Neptunus
Neptunes;Neptunus
Neptunis;Neptunus
Neptunus;Neptunus
Nieu Amsterdam;Nieuw Amsterdam
N. Enchuijsen;Nieuw Enkhuizen
Nieu Enchuijsen;Nieuw Enkhuizen
Nieu Enchuijsz;Nieuw Enkhuizen
Nieuw Haerlem;Nieuw Haarlem
Nieu Nassau;Nieuw Nassau
Nieu Nederlt.;Nieuw Nederland
Nieu Nedlt.;Nieuw Nederland
Nieuw Rotterdam;Nieuw Rotterdam
Nieuwendam;Nieuwendam
Noorthollandt;Noord-Holland
Noorthollant;Noord-Holland
Noorthollt.;Noord-Holland
de Noortsche Boer;Noordse Boer
de Noortsche Cop;Noordse Kop
Noorthumberlant;Northumberland
de Olifant;Olifant
de Olifhandt;Olifant
den Olifant;Olifant
den Oliphandt;Olifant
den Oliphant;Olifant
den Ollifant;Olifant
Omlandia;Omlandia
de Oijevaer;Ooievaar
Oosterwijck;Oosterwijk
Oosterwyck;Oosterwijk
Oragne;Oranje
Oragnen;Oranje
de Oragneboom;Oranjeboom
de Orange Boom;Oranjeboom
de Orangeboom;Oranjeboom
d'Oragne Boom;Oranjeboom
d'Oragne boom;Oranjeboom
d'Oragneboom;Oranjeboom
d'Orangneboom;Oranjeboom
Oragneboom;Oranjeboom
Oragnie Boom;Oranjeboom
Oragnieboom;Oranjeboom
de Os;Os
den Otter;Otter
Overijsel;Overijssel
Overijssel;Overijssel
Overrijssel;Overijssel
Overysel;Overijssel
Overyssel;Overijssel
de Parel;Parel
de Paaerl;Parel
de Paerl;Parel
de Patientie;Patientie
Pacentie;Patientie
Patientie;Patientie
t Pasientie;Patientie
de Peperbael;Peperbaal
de Peereboom;Perenboom
Popiensbergh;Popkensburg
Poppenjensburgh;Popkensburg
de Post;Post
Postpaert;Postpaard
t Postpaart;Postpaard
t Postpaert;Postpaard
t'Postpaert;Postpaard
de Prins;Prins
Prins Frederick;Prins Frederik
Prins Hendrick;Prins Hendrik
Prins Henric;Prins Hendrik
