final_creditor_name;normalized
Barent Adriaensz;Barent Andriesen
Barent Andriesen;Barent Andriesen
Barent Arentss;Barent Andriesen
Barent Barents;Barent Barentsz
Barent Barentss;Barent Barentsz
Barent Barentsz;Barent Barentsz
Barent Caspersen;
Barent Coningh;
Barent Galliardon;
Barent Harmansz;
Barent Harmensz;Barent Barentsz
Barent Hendricxsz Velthuijs;Barendt Henricss Veldthuis
Barent Henricx;Barent Henricxsz
Barent Henricxss;Barent Henricxsz
Barent Henricxsz;Barent Henricxsz
Barent Henricxsz Velthuijs;Barendt Henricss Veldthuis
Barent Jansen;Barent Jansz
Barent Janss;Barent Jansz
Barent Janssz;Barent Jansz
Barent Jansz;Barent Jansz
Barent Jeronimus;
Barent Leeferinck;Barent Leefrinck
Barent Leeferingh;Barendt Leefrinck
Barent Leeffrick;Barendt Leefrinck
Barent Leeffrinck;Barendt Leefrinck
Barent Leeffring;Barendt Leefrinck
Barent Leeffringh;Barendt Leefrinck
Barent Leefrick;Barent Leefrinck
Barent Leefrinc;Barendt Leefrinck
Barent Leefrinck;Barendt Leefrinck
Barent Leefring;Barent Leefrinck
Barent Leefringh;Barendt Leefrinck
Barent Lefeeringh;Barendt Leefrinck
Barent Leferijnck;Barent Leefrinck
Barent Lefering;Barent Leefrinck
Barent Leffrinck;Barent Leefrinck
Barent Lefrinck;Barendt Leefrinck
Barent Ribberts;
Barent Theuniss;Barent Theunisz
Barent Theunisz;Barent Theunisz
Barent Wissinck;
Barrent Leefrinck;Barent Leefrinck
Bart Leefrinck;Barent Leefrinck
Bartel Schrijver;Bartel Schrijver
Bartel Schryver;Bartel Schrijver
Bartelt Heetfelt;Bartelt Heetvelt
Bartelt Heetvelt;Bartelt Heetvelt
Bartelt Schrijver;Bartel Schrijver
Bartelt Schryver;Bartel Schrijver
Barthel Pieterss Berck;Barthelt Pieterssz Berck
Bartheld Schrijver;Bartel Schrijver
Bartheldt Heetveld;Bartelt Heetvelt
Bartheldt Heetveldt;Bartelt Heetvelt
Bartheldt Schrijver;Bartel Schrijver
Barthelt Heetfelt;Bartelt Heetvelt
Barthelt Heettvelt;Bartelt Heetvelt
Barthelt Heetveldt;Bartelt Heetvelt
Barthelt Heetvelt;Bartelt Heetvelt
Barthelt Heetwelt;Bartelt Heetvelt
Barthelt Jacobsz;
Barthelt Pieterssz Berck;Barthelt Pieterssz Berck
Barthelt Schrijver;Bartel Schrijver
Barthelt Schryver;Bartel Schrijver
Bartholomeus Martinus;
Bastiaen Stevenssz/Henrickgen Jans;
Bathelt Heetveldt;Bartelt Heetvelt
Beeckje Hendricksz;
Beelitgen Otten;
Beertge Munnickhuijsen;Beertgen Munnickhuijsen
Beertgen Munnickhuijsen;Beertgen Munnickhuijsen
Beletien Thomas;
Belitgen Govertsdr;Belitgen Govertsdr.
Belitje Govers;Belitgen Govertsdr.
Belytgen Jansdr.;Belytgen Jansdr.
Betgen Jansdr.;Belytgen Jansdr.
Botho Christiaen;
Bouwen Jansz;
Brechjen Jacobs;Brechjien Jacobsdr.
Brechjien Jacobsdr.;Brechjien Jacobsdr.
Capser Sluijter;Casper Sluiter
Carel Andriesz;
Carel la Hange;
Carel Le Gust;
Carel van Peene;
Carsten Heijlcke;Carsten Hilke
Carsten Hilke;Carsten Hilke
Carsten Jans;Carsten Jansz
Carsten Jansen;Carsten Jansz
Carsten Janss;Carsten Jansz
Carsten Janssz;Carsten Jansz
Carsten Jansz;Carsten Jansz
Carsten Jansz/Gierte Martens;
Carsten Lourensz/Barbar Isaacxdr.;
Carsten Pietersen;Carsten Pietersz
Carsten Pieterss;Carsten Pietersz
Carsten Pietersz;Carsten Pietersz
Carten Janssz;Carsten Jansz
Casp Sluijter;Casper Sluiter
Caspar Jansz;Casper Jansz
Caspar Sluijter;Casper Sluiter
Caspar Sluijtter;Casper Sluiter
Casper Jansz;Casper Jansz
Casper Rodingh;
Casper Sluijter;Casper Sluiter
Casper Sluijters;Casper Sluijter
Casper Sluijtter;Casper Sluiter
Casper Sluiter;Casper Sluiter
Casper Sluitter;Casper Sluiter
Casper Sluyter;Casper Sluiter
Casper t Zcharningh;Casper Tsarninck
Casper Tcharningh;Casper Tsarninck
Casper Tsarninck;Casper Tsarninck
Casper Tzarning;Casper Tsarninck
Casper Tzarningh;Casper Tsarninck
Casper Tzarungh;
Casper t'Zcharningh;Casper Tsarninck
Caspr. Sluijter;Casper Sluiter
Catalijn d' Acree;Cathalina d' Accre
Catalijn d'Acre;Cathalina d' Accre
Catalijn d'Acree;Cathalina d' Accre
Catalina Dacree;Cathalina d' Accre
Catalina Sas;
Catalyn d Acree;Cathalina d' Accre
Catalyn d'Acre;Cathalina d' Accre
Cateleijn Dacree;Cathalina d' Accre
Cateleyn Dacree;Cathalina d' Accre
Catelijn Dacree;Cathalina d' Accre
Cathalijn d Acre;Cathalina d' Accre
Cathalijn d' Acree;Cathalina d' Accre
Cathalijn dâ€™ Acree;Cathalina d' Accre
Cathalijn dâ€™Acree;Cathalina d' Accre
Cathalijn Daccre;Cathalina d' Accre
Cathalijn Dacré;Cathalina d' Accre
Cathalijn Dacre;Cathalina d' Accre
Cathalijn d'Acre;Cathalina d' Accre
Cathalijn Dacree;Cathalina d' Accre
Cathalijn d'Acree;Cathalina d' Accre
Cathalijn Dacrer;Cathalina d' Accre
Cathalijn Dakre;Cathalina d' Accre
Cathalijn Jans;
Cathalijn Kar;
Cathalijn Wijnantsdr.;
Cathalijntgen Adamsdr.;
Cathalijntgen Thillij;
Cathalina d Accre;Cathalina d' Accre
Cathalina d' Accre;Cathalina d' Accre
Cathalina d' Acree;Cathalina d' Accre
Cathalina Daccra;Cathalina d' Accre
Cathalina Daccre;Cathalina d' Accre
Cathalina Daccree;Cathalina d' Accre
Cathalina Dacre;Cathalina d' Accre
Cathalina Dacreé;Cathalina d' Accre
Cathalina DacreÃ©;Cathalina d' Accre
Cathalina Dacree;Cathalina d' Accre
Cathalina d'Acree;Cathalina d' Accre
Cathalina Dacreel;Cathalina d' Accre
Cathalina Willems;
Cathalyn d' Acre;Cathalina d' Accre
Cathalyn d' Acree;Cathalina d' Accre
Cathalyn DacrÃ©;Cathalina d' Accre
Cathalyn Dacree;Cathalina d' Accre
Cathalyn d'Acree;Cathalina d' Accre
Cathalyntgen van Vijven;
Catharina Dacree;Cathalina d' Accre
Catharina Lueders;
Catharina Ulpere;
Catharina Verlet;
Cathelijn dâ€™ Acree;Cathalina d' Accre
Cathelijn d'Acré;Cathalina d' Accre
Cathelijn d'Acree;Cathalina d' Accre
Cathelijn Dakre;Cathalina d' Accre
Cathelijn Dakree;Cathalina d' Accre
Cathelyn de AcrÃ©;Cathalina d' Accre
Catholijn d' Ackere;Cathalina d' Accre
Catholijn d'Ackere;Cathalina d' Accre
Catholijn d'Acre;Cathalina d' Accre
Catholijn de Ackere;Cathalina d' Accre
Catolijn Dacre;Cathalina d' Accre
Cattelijn Dackree;Cathalina d' Accre
Cattelyn Dackree;Cathalina d' Accre
Charles Caree;Charles Carre
Charles Carré;Charles Carre
Charles CarrÃ©;Charles Carre
Charles Carre;Charles Carre
Charles Carree;Charles Carre
Charles Carret;Charles Carre
Charles Rean;Charles Reijni
Charles Reijni;Charles Reijni
Charles Tierlemon;
Chatalijn d Acre;Cathalina d' Accre
Chatalijn Dacre;Cathalina d' Accre
Chatalijn Davidts;
Chatalyn Dacre;Cathalina d' Accre
Chatalyn Dacree;Cathalina d' Accre
Chelia Jans;Chelia Jansdr.
Chelia Jansdr.;Chelia Jansdr.
Christiaen Andriesz;
Christiaen Arondeius;
Christiaen Harsmoer;
Christiaen Jansz de Graver;
Christiaen Massa;
Christoffel Gerritsz;
Christoffel Quade Jacob;
Claartge Arentsdr.;Claertgen Arentsdr.
Claertge Arentsdr;Claertgen Arentsdr.
Claertge Arentsdr.;Claertgen Arentsdr.
Claertgen Arents;Claertgen Arentsdr.
Claertgen Arentsdr;Claertgen Arentsdr.
Claertgen Arentsdr.;Claertgen Arentsdr.
Claertgien Arentsdr;Claertgen Arentsdr.
Claes Adriaensz Sparreboom;
Claes Arenstz;Claes Arenstz
Claes Arents;Claes Arentsz
Claes Arentssen;Claes Arenstz
Claes Arentssz;Claes Arentsz
Claes Arentsz;Claes Arentsz
Claes Balthuss;
Claes Balthusz;
Claes Bisschop;Niclaes Bisschop
Claes Claesz;
Claes Cornelissz van Diemen;
Claes Franss;
Claes Franss Cuijper;
Claes Fredericss;
Claes Gerritsz;
Claes Hanssz;
Claes Jans;
Claes Jansz;
Claes Meijer;Claes Meijer
Claes Nickess;
Claes Thijmonsz;
Claes van Medemblick;
Claes Willemsz Vetteman;
Claesgen Everts;
Claesje Michiels;
Clara Jans;
Cleasge Christiaensdr;
Coert Claesz/Annetgen Stevens;
Coert Coertsz;
Coert Jansz;
Coert Laersz;
Coert Slinghwater;
Coert Stresen;
Corn. Carelsz Reijli;
Cornelia Wachters;
Cornelis Adriaenss Hooft;
Cornelis Adriaensz Dor;
Cornelis Ariaensz;
Cornelis Barents;Cornelis Barentsz
Cornelis Barentsz;Cornelis Barentsz
Cornelis Barthelss;
Cornelis Broersz;
Cornelis Carelsen Reili;Cornelis Carelsen Reili
Cornelis Carelss Reili;Cornelis Carelsen Reili
Cornelis Carelsz Reijli;Cornelis Carelsen Reili
Cornelis Claesz;
Cornelis Cornelisz/Marritien Pieters;
Cornelis de Wilde;
Cornelis Dircxss Schaep;
Cornelis Eldertssz;Cornelis Entesz
Cornelis Entersz;Cornelis Entesz
Cornelis Entes;Cornelis Entesz
Cornelis Entessz;Cornelis Entesz
Cornelis Entesz;Cornelis Entesz
Cornelis Foppe;Cornelis Foppesz
Cornelis Foppen;Cornelis Foppesz
Cornelis Foppes;Cornelis Foppesz
Cornelis Foppessz;Cornelis Foppesz
Cornelis Foppesz;Cornelis Foppesz
Cornelis Fopphesz;Cornelis Foppesz
Cornelis Fopsz;Cornelis Foppesz
Cornelis Hose;
Cornelis Jacobsz;Cornelis Jansz
Cornelis Jan Foppss;Cornelis Foppesz
Cornelis Jan Fopsz;Cornelis Foppesz
Cornelis Janss;Cornelis Jansz
Cornelis Janss ten Houte;
Cornelis Janssz;Cornelis Jansz
Cornelis Jansz;Cornelis Jansz
Cornelis Jansz van Bergen;
Cornelis Jansz/Aeltien Jansdr.;
Cornelis Jansz/Geesgen Henricx;
Cornelis Jansz/Jurrien Hasebroeck/Henrick Remmersz;
Cornelis Lauwertsz;
Cornelis Pieters;Cornelis Pietersz
Cornelis Pieterssz;Cornelis Pietersz
Cornelis Pieterssz Coster;Cornelis Pietersz
Cornelis Reijli;Cornelis Reijli
Cornelis Reijlie;Cornelis Reijli
Cornelis Reijlij;Cornelis Reijli
Cornelis Reili;Cornelis Reijli
Cornelis Roeliffssz;Cornelis Roelofsz
Cornelis Roeloffs;Cornelis Roelofsz
Cornelis Roeloffsz;Cornelis Roelofsz
Cornelis Roelofs;Cornelis Roelofsz
Cornelis Roelofsz;Cornelis Roelofsz
Cornelis Sieuwerts;Cornelis Siewertsz
Cornelis Sieuwertss;Cornelis Siewertsz
Cornelis Sieuwertsz;Cornelis Siewertsz
Cornelis Siewertsz;Cornelis Siewertsz
Cornelis Sijvertss;Cornelis Siewertsz
Cornelis Sijwertss;Cornelis Siewertsz
Cornelis Sladius;
Cornelis Teuwes;
Cornelis van Vlosewijck;
Cornelis Willems;Cornelis Willemsz
Cornelis Willemsz;Cornelis Willemsz
Cornelius Sladius;
Cornelus Foppessz;Cornelis Foppesz
Cornelus Foppesz;Cornelis Foppesz
Court Strese;
Cunira Jans;
Danieel Keef;Daniel Keeff
Daniel Backer;
Daniel Ceef;Daniel Keef
Daniel Ceefe;Daniel Keeff
Daniel Ceeff;Daniel Keef
Daniel Darmuth;Daniel Deermont
Daniel Deermet;Daniel Deermont
Daniel Deermont;Daniel Deermont
Daniel Grootjan;
Daniel Keef;Daniel Keef
Daniel Keeff;Daniel Keef
Daniel Keeff/Margriet Daniels;
Daniel Marfi;
Daniel Stuart;Daniel Stuart
Daniel Stuwart;Daniel Stuart
Daniell Keeff;Daniel Keeff
David Bruijs;David Bruijs
David Bruis;David Bruijs
David Corvits;Davit Corwits
David Jansz Wilgenhoff;
Davidt Bruijs;David Bruijs
Davidt Correvids;Davit Corwits
Davidt Jacobsz;
Davit Bruijs;David Bruijs
Davit Corwidts;Davit Corwits
Davit Corwiets;Davit Corwits
Davit Corwits;Davit Corwits
Delia Daniels;
Demangie de Diere;
Denijs Andries;Denijs Andries
Denys Andries;Denijs Andries
Dick Dircxss Comen;
Dick Dircxsz;
Didloff Barwits;Didloff Barwits
Didloff Didloffs Seecke;Didloff Didloffsz
Didloff Didloffssz;Didloff Didloffsz
Didtloff Barwijck;Didloff Barwits
Diedtloff Dietloffz;Didloff Didloffsz
Dietloff Barwijck;Didloff Barwits
Dietloff Dietloffsz;Didloff Didloffsz
Dietloff Dietloffz;Didloff Didloffsz
Dieuwer Jacobsdr.;
Dieuwertgen Hendericx;
Dieuwertgen Pieters;
Dionis Eswiller;
Dirc Janss van der Molen;
Dirc van Eps;Dirck van Eps
Dirck Aertsz;
Dirck Claessz;
Dirck Corneliss;
Dirck Cornelissz;
Dirck de Lange;
Dirck Dircxsz;
Dirck Duijsent de Wilde;
Dirck Evertssz;
Dirck Gerritsz Jongevelt;
Dirck Henricxs;Dirck Henricxsz
Dirck Henricxss;Dirck Henricxsz
Dirck Henricxsz;Dirck Henricxsz
Dirck Jacobsz;
Dirck Jans;Dirck Jansz
Dirck Janssen;Dirck Janssz
Dirck Janssz;Dirck Jansz
Dirck Jansz;Dirck Jansz
Dirck Rieuwertsz;
Dirck van Eps;Dirck van Eps
Dirck Willemsz Crychsman;
Dircx van Eps;Dirck van Eps
Doede Halle;Doede Halle
Doede Hallen;Doede Halle
Doetgen Isbrands;
Dorithea Jonas;
Dorothea Joosten;Dorothea Joostesdr.
Dorothea Joostesdr.;Dorothea Joostesdr.
Eduaert Richertsz;Eduaert Richertsz
Eduardt Richardss;Eduaert Richertsz
Eduardt Richardtss;Eduaert Richertsz
Eduardt Ritchardss;Eduaert Richertsz
Eduardt Ritchardtss;Eduaert Richertsz
Eduardt Ritchartss;Eduaert Richertsz
Eduart Bort;
Eduart Bosbe;Eduart Bosbij
Eduart Bosbij;Eduart Bosbij
Eduart Forster;
Eduart Richartsz;Eduaert Richertsz
Eduart Richertsz;Eduaert Richertsz
Eduart Ritchardss;Eduaert Richertsz
Eduart Ritchers;Eduaert Richertsz
Eduart Ritcherts;Eduaert Richertsz
Eduart Ritchertss;Eduaert Richertsz
Eduart Ritchertsz;Eduaert Richertsz
Eduart Schees;
Eduwaert Rutgersz;Eduaert Richertsz
Eduwart Ritchertsz;Eduaert Richertsz
Eduwart Ritserts;Eduaert Richertsz
Eechtgen Fredricx;
Effgen Becx;
Egbert Fredericx Roest;
Egbert Janss;Egbert Jansz
Egbert Janssz;Egbert Jansz
Egbert Jansz;Egbert Jansz
Eijcke Esselssz;
Elburgh Henricxdr;
Eldert Eldertss;Eldert Eldertsz
Eldert Eldertssen;Eldert Eldertsz
Eldert Eldertssz;Eldert Eldertsz
Eldert Eldertsz;Eldert Eldertsz
Elias Barentsz;
Elias Roose;Elias Rose
Elias Rose;Elias Rose
Elina Mos;
Elisabet Rotgans;
Ellert Ellertssz;Eldert Eldertsz
