id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
https://archief.amsterdam/indexen/deeds/9d6d21e2-9686-666d-e053-b784100a1840,"305,124",A23653000048,"2233,3001",A23653000048
,"2899,175",KLAD01887000165,"2619,1291",KLAD01887000166
,"3049,145",A24963000128,"4922,3782",A24963000128
,"2993,1979",A20429000039,"2709,3365",A20429000040
,"631,196",A26669000213,"5106,1779",A26669000213
,"2872,236",A33628000040,"2665,1893",A33628000041
,"2771,252",NOTC01001000024,"5214,4083",NOTC01001000024
,"416,153",KLAD01840000094,"3674,2667",KLAD01840000094
,"344,98",KLAB05520000085,"2278,3644",KLAB05520000085
https://archief.amsterdam/indexen/deeds/9d6d21e3-6bca-666d-e053-b784100a1840,"2526,381",A23645000120,"4359,3353",A23645000120
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dd-666d-e053-b784100a1840,"2486,146",A23646000168,"4154,3088",A23646000168
,"501,157",A26669000045,"4827,3542",A26669000045
,"435,167",A16128000077,"5127,2537",A16128000077
,"129,142",KLAD02350000033,"2423,3515",KLAD02350000033
https://archief.amsterdam/indexen/deeds/9d6d21e2-1573-666d-e053-b784100a1840,"203,123",A23651000168,"1961,2937",A23651000168
,"769,214",KLAD01887000216,"2533,3687",KLAD01887000216
,"3053,148",KLAB03099000148,"2654,1518",KLAB03099000149
,"217,74",KLAB05520000012,"2437,3782",KLAB05520000012
,"2058,108",KLAD02306000059,"3574,2717",KLAD02306000060
,"2499,113",A32396000103,"2290,1486",A32396000104
https://archief.amsterdam/indexen/deeds/a3cb51cc-7bf1-50ee-e053-b784100a6caf,"2985,214",KLAB05562000046,"4911,3685",KLAB05562000046
https://archief.amsterdam/indexen/deeds/9d6d21e2-87af-666d-e053-b784100a1840,"416,254",A23645000232,"2331,3317",A23645000232
,"503,240",A33642000075,"2501,3627",A33642000075
,"2679,188",A32698000035,"4812,3683",A32698000035
https://archief.amsterdam/indexen/deeds/e557c10f-234c-7dcb-e053-b784100a971b,"339,1658",KLAB04781000021,"2434,3787",KLAB04781000021
,"898,235",KLAD01899000249,"5128,3513",KLAD01899000249
,"325,98",A31203000075,"2368,3783",A31203000075
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd91-666d-e053-b784100a1840,"500,150",A23658000226,"2299,3050",A23658000226
,"460,119",NOTD00103000078,"1994,1963",NOTD00103000079
,"2768,137",KLAD01928000003,"4911,3652",KLAD01928000006
,"2677,108",A33852000034,"4937,3747",A33852000034
,"852,241",KLAD01899000095,"2849,3721",KLAD01899000095
,"370,88",KLAD02194000084,"1846,2691",KLAD02194000084
,"608,132",A30981000080,"2474,3730",A30981000080
https://archief.amsterdam/indexen/deeds/9d6d21e0-4bcc-666d-e053-b784100a1840,"2701,156",A23645000275,"4408,3357",A23645000275
,"2100,1472",KLAD01958000100,"3656,1111",KLAD01958000101
,"648,81",KLAD03195000114,"4923,3712",KLAD03195000114
,"129,60",A31203000035,"2495,3857",A31203000035
https://archief.amsterdam/indexen/deeds/9d6d21e3-7ab4-666d-e053-b784100a1840,"460,253",A23659000075,"2260,3114",A23659000075
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd93-666d-e053-b784100a1840,"2477,145",A23647000063,"4331,3278",A23647000063
,"554,159",KLAD02222000077,"3550,1651",KLAD02222000077
,"2040,131",KLAD02306000027,"1750,2574",KLAD02306000028
https://archief.amsterdam/indexen/deeds/9d6d21e0-da65-666d-e053-b784100a1840,"2577,137",A23654000176,"4021,3125",A23654000176
https://archief.amsterdam/indexen/deeds/9d6d21e3-f364-666d-e053-b784100a1840,"2289,102",A23649000058,"4092,3083",A23649000058
,"496,174",KLAD01978000071,"2411,3764",KLAD01978000071
,"781,95",KLAD03195000117,"2485,3696",KLAD03195000117
,"3161,167",KLAD01899000119,"2863,3759",KLAD01899000122
,"263,169",A16581000132,"1762,2667",A16581000132
https://archief.amsterdam/indexen/deeds/9d6d21e1-b224-666d-e053-b784100a1840,"2379,255",A23653000211,"4128,2943",A23653000211
https://archief.amsterdam/indexen/deeds/9d6d21e2-87f8-666d-e053-b784100a1840,"453,181",A23645000149,"2333,3348",A23645000149
,"2927,184",A24963000074,"2484,3777",A24963000075
https://archief.amsterdam/indexen/deeds/9d6d21df-e8e1-666d-e053-b784100a1840,"2404,139",A23658000141,"4120,2783",A23658000141
https://archief.amsterdam/indexen/deeds/9d6d21e3-7ab6-666d-e053-b784100a1840,"310,238",A23646000179,"2201,3030",A23646000179
,"571,223",NOTD00100000008,"2090,3153",NOTD00100000009
,"2823,126",KLAD01928000080,"2570,1222",KLAD01928000081
,"162,104",KLAD01984000016,"3554,2786",KLAD01984000017
https://archief.amsterdam/indexen/deeds/9d6d21df-e91f-666d-e053-b784100a1840,"416,197",A23653000099,"2053,2978",A23653000099
https://archief.amsterdam/indexen/deeds/9d6d21e2-96c9-666d-e053-b784100a1840,"380,144",A23655000101,"2198,2965",A23655000101
,"2702,102",KLAD03198000067,"2570,3729",KLAD03198000068
https://archief.amsterdam/indexen/deeds/9d6d21e1-30be-666d-e053-b784100a1840,"2103,89",A23651000026,"3821,2944",A23651000026
,"4094,363",KLAB04820000008,"3263,5511",KLAB04820000009
https://archief.amsterdam/indexen/deeds/e557c10f-2370-7dcb-e053-b784100a971b,"520,165",KLAB04781000065,"2351,3327",KLAB04781000065
,"450,199",A32419000139,"4880,3826",A32419000139
