id,label,xywh,scanname
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location6,St. Martin in Vranckrijck,"2271,937,371,88",KLAB04781000059
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location7,Wicht,"1713,1085,356,74",KLAB04781000060
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location8,Nieuwe Diep,"1496,1539,421,72",KLAB04781000060
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location9,Rotterdam,"1519,598,410,77",KLAB04781000059
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb4-1a7b-e053-b784100aab8a?location=Location1,Pritswal,"2023,1507,394,119",NOTG00054000089
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb9-1a7b-e053-b784100aab8a?location=Location1,Lilie an Flaenderen,"556,410,853,154",A23644000201
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb9-1a7b-e053-b784100aab8a?location=Location2,Brasil,"1830,534,343,143",A23644000201
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb9-1a7b-e053-b784100aab8a?location=Location3,Sardam,"2125,808,332,144",A23644000201
https://archief.amsterdam/indexen/deeds/9d6d21e3-a73f-666d-e053-b784100a1840?location=Location1,Bonet,"2841,1898,200,71",A30772000063
https://archief.amsterdam/indexen/deeds/9d6d21e3-a73f-666d-e053-b784100a1840?location=Location2,La Motte,"3183,462,276,46",A30772000063
https://archief.amsterdam/indexen/deeds/9d6d21e3-a73f-666d-e053-b784100a1840?location=Location3,Diepe,"3528,360,147,67",A30772000063
https://archief.amsterdam/indexen/deeds/9d6d21e2-30ed-666d-e053-b784100a1840?location=Location1,West Indien,"500,819,287,57",A20362000007
https://archief.amsterdam/indexen/deeds/9d6d21e2-30ed-666d-e053-b784100a1840?location=Location2,eijlant Saona,"994,1121,385,54",A20362000007
https://archief.amsterdam/indexen/deeds/9d6d21e2-30ed-666d-e053-b784100a1840?location=Location3,Curacao,"1140,795,183,65",A20362000007
https://archief.amsterdam/indexen/deeds/9d6d21e2-30ed-666d-e053-b784100a1840?location=Location4,Haerlem,"563,710,193,54",A20362000007
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9f0-666d-e053-b784100a1840?location=Location1,Dordreght,"2887,636,425,98",A23647000218
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fa-666d-e053-b784100a1840?location=Location1,Redon in Brittagne,"705,537,566,67",A23655000034
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fa-666d-e053-b784100a1840?location=Location2,Seelant,"1108,656,236,65",A23655000034
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fa-666d-e053-b784100a1840?location=Location3,Corencarci,"1900,2089,282,91",A23655000034
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fa-666d-e053-b784100a1840?location=Location4,Amiens in Vranckrijck,"1407,2015,737,72",A23655000034
https://archief.amsterdam/indexen/deeds/9d6d21e2-156f-666d-e053-b784100a1840?location=Location1,Slaets in Footlandt,"2284,2188,185,79",A23645000166
https://archief.amsterdam/indexen/deeds/9d6d21e2-156f-666d-e053-b784100a1840?location=Location2,Overlongwits in 't land Meissen,"2212,663,223,83",A23645000166
https://archief.amsterdam/indexen/deeds/9d6d21e2-156f-666d-e053-b784100a1840?location=Location3,Coppenhagen,"2052,2265,383,98",A23645000166
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd6-666d-e053-b784100a1840?location=Location1,Hoesum,"1773,819,351,115",A20015000087
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd6-666d-e053-b784100a1840?location=Location2,Eeden,"2206,369,410,85",A20015000087
https://archief.amsterdam/indexen/deeds/9d6d21e3-7a5f-666d-e053-b784100a1840?location=Location1,Stanfort in Engelt.,"3058,483,459,61",A23655000184
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd7-666d-e053-b784100a1840?location=Location1,Swaveren,"1404,1452,281,74",A23650000121
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd7-666d-e053-b784100a1840?location=Location2,Bissendorp,"871,455,404,75",A23650000121
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd7-666d-e053-b784100a1840?location=Location3,Dool in Bourgonge,"1338,1506,421,81",A23650000121
https://archief.amsterdam/indexen/deeds/9d6d21df-f4ef-666d-e053-b784100a1840?location=Location1,West Indien,"2490,427,346,77",A20362000024
https://archief.amsterdam/indexen/deeds/9d6d21df-f4ef-666d-e053-b784100a1840?location=Location2,Hoorn,"2221,420,204,72",A20362000024
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dc-666d-e053-b784100a1840?location=Location1,Stockholm,"1962,1636,201,76",A23656000081
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dc-666d-e053-b784100a1840?location=Location2,Hertsbach bij Cobelens,"1128,419,542,72",A23656000081
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dc-666d-e053-b784100a1840?location=Location3,Norden,"1562,1687,136,69",A23656000081
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fb-666d-e053-b784100a1840?location=Location1,Pier int landt van Luijc,"1124,406,515,62",A23656000060
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fb-666d-e053-b784100a1840?location=Location2,Schotlandt,"1325,1452,280,59",A23656000060
https://archief.amsterdam/indexen/deeds/e557c10f-60f1-7dcb-e053-b784100a971b?location=Location1,Wtrecht,"2290,837,403,96",KLAB04781000136
https://archief.amsterdam/indexen/deeds/bebf5fd4-ef79-1e00-e053-b784100af734?location=Location1,Oude Wetering,"2177,758,422,106",KLAG03343000073
https://archief.amsterdam/indexen/deeds/9d6d21e2-9686-666d-e053-b784100a1840?location=Location1,Betmer bij Brunswijck,"1969,371,270,72",A23653000048
https://archief.amsterdam/indexen/deeds/9d6d21e3-6bca-666d-e053-b784100a1840?location=Location1,Gottenburgh,"2834,633,411,74",A23645000120
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dd-666d-e053-b784100a1840?location=Location1,Hage,"3613,930,138,89",A23646000168
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dd-666d-e053-b784100a1840?location=Location2,Jiveren,"2853,2051,190,63",A23646000168
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dd-666d-e053-b784100a1840?location=Location3,Heedenum bij Francfort,"3942,683,287,62",A23646000168
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dd-666d-e053-b784100a1840?location=Location4,Heidelbergh,"3232,1994,319,75",A23646000168
https://archief.amsterdam/indexen/deeds/9d6d21e2-1573-666d-e053-b784100a1840?location=Location1,Staffart in Engelt,"1728,420,390,63",A23651000168
https://archief.amsterdam/indexen/deeds/a3cb51cc-7bf1-50ee-e053-b784100a6caf?location=Location1,Hanauw,"4290,1111,284,86",KLAB05562000046
https://archief.amsterdam/indexen/deeds/a3cb51cc-7bf1-50ee-e053-b784100a6caf?location=Location2,Loando St. Paulo,"3215,1173,532,89",KLAB05562000046
https://archief.amsterdam/indexen/deeds/a3cb51cc-7bf1-50ee-e053-b784100a6caf?location=Location3,Francfort,"4672,590,329,84",KLAB05562000046
https://archief.amsterdam/indexen/deeds/9d6d21e2-87af-666d-e053-b784100a1840?location=Location1,Emden,"975,902,295,69",A23645000232
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd91-666d-e053-b784100a1840?location=Location1,Campen,"1932,2240,261,66",A23658000226
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd91-666d-e053-b784100a1840?location=Location2,Lijbrich,"1639,2349,329,63",A23658000226
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd91-666d-e053-b784100a1840?location=Location3,Mastricht,"813,583,332,80",A23658000226
https://archief.amsterdam/indexen/deeds/9d6d21e0-4bcc-666d-e053-b784100a1840?location=Location1,Langere,"3144,791,412,96",A23645000275
https://archief.amsterdam/indexen/deeds/9d6d21e3-7ab4-666d-e053-b784100a1840?location=Location1,Edam,"1400,548,292,74",A23659000075
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd93-666d-e053-b784100a1840?location=Location1,Oldenburch,"2840,601,430,59",A23647000063
https://archief.amsterdam/indexen/deeds/9d6d21e0-da65-666d-e053-b784100a1840?location=Location1,Brouwershaven,"3147,403,458,92",A23654000176
https://archief.amsterdam/indexen/deeds/9d6d21e3-f364-666d-e053-b784100a1840?location=Location1,Armentiers bij Rijssel,"3072,552,526,52",A23649000058
https://archief.amsterdam/indexen/deeds/9d6d21e1-b224-666d-e053-b784100a1840?location=Location1,Reijtingh bij Bremen,"2786,1989,569,54",A23653000211
https://archief.amsterdam/indexen/deeds/9d6d21e1-b224-666d-e053-b784100a1840?location=Location2,Batenborgh in Gelderlant,"3321,498,549,66",A23653000211
https://archief.amsterdam/indexen/deeds/9d6d21e2-87f8-666d-e053-b784100a1840?location=Location1,Luijck,"840,775,441,144",A23645000149
https://archief.amsterdam/indexen/deeds/9d6d21df-e8e1-666d-e053-b784100a1840?location=Location1,Dantzich,"3128,1779,283,66",A23658000141
https://archief.amsterdam/indexen/deeds/9d6d21df-e8e1-666d-e053-b784100a1840?location=Location2,Antwerpen,"3070,434,369,81",A23658000141
https://archief.amsterdam/indexen/deeds/9d6d21df-e8e1-666d-e053-b784100a1840?location=Location3,Der Windou uijt Courlandt,"3064,1860,725,72",A23658000141
https://archief.amsterdam/indexen/deeds/9d6d21e3-7ab6-666d-e053-b784100a1840?location=Location1,Lubeck,"1059,783,380,64",A23646000179
https://archief.amsterdam/indexen/deeds/9d6d21df-e91f-666d-e053-b784100a1840?location=Location1,Kessel in Yrlandt,"1200,461,565,55",A23653000099
https://archief.amsterdam/indexen/deeds/9d6d21e2-96c9-666d-e053-b784100a1840?location=Location1,Jarmouth in Engelt.,"938,449,438,84",A23655000101
https://archief.amsterdam/indexen/deeds/9d6d21e2-96c9-666d-e053-b784100a1840?location=Location2,Hamborgh,"765,1913,278,93",A23655000101
https://archief.amsterdam/indexen/deeds/9d6d21e2-96c9-666d-e053-b784100a1840?location=Location3,Brussel,"1821,1893,308,80",A23655000101
https://archief.amsterdam/indexen/deeds/9d6d21e2-96c9-666d-e053-b784100a1840?location=Location4,Dordrecht,"1120,602,268,67",A23655000101
https://archief.amsterdam/indexen/deeds/9d6d21e1-30be-666d-e053-b784100a1840?location=Location1,Leeuwaerden,"3550,494,312,100",A23651000026
https://archief.amsterdam/indexen/deeds/e557c10f-2370-7dcb-e053-b784100a971b?location=Location1,Brasil,"2276,377,204,90",KLAB04781000065
https://archief.amsterdam/indexen/deeds/e557c10f-2370-7dcb-e053-b784100a971b?location=Location2,Itbill,"2155,1096,298,85",KLAB04781000065
https://archief.amsterdam/indexen/deeds/e557c10f-2370-7dcb-e053-b784100a971b?location=Location3,Hoorn,"2282,816,214,86",KLAB04781000065
https://archief.amsterdam/indexen/deeds/e557c10e-a414-7dcb-e053-b784100a971b?location=Location1,Dordrecht,"4282,2347,383,105",KLAC01164000055
https://archief.amsterdam/indexen/deeds/e557c10e-a414-7dcb-e053-b784100a971b?location=Location2,Canarische Eijlanden,"4271,2524,759,87",KLAC01164000055
https://archief.amsterdam/indexen/deeds/9d6d21e0-5b83-666d-e053-b784100a1840?location=Location1,Tresendorp,"3753,535,362,71",A23658000168
https://archief.amsterdam/indexen/deeds/9d6d21e0-5b83-666d-e053-b784100a1840?location=Location2,Utrechtsche Veer inde Mosartpot,"2309,835,553,114",A23658000168
https://archief.amsterdam/indexen/deeds/e557c10e-f917-7dcb-e053-b784100a971b?location=Location1,Weijde,"4224,1262,285,114",KLAB05555000053
https://archief.amsterdam/indexen/deeds/e557c10e-f917-7dcb-e053-b784100a971b?location=Location2,Oostindien,"3477,1381,350,105",KLAB05555000053
https://archief.amsterdam/indexen/deeds/a3cb51cc-4b5a-50ee-e053-b784100a6caf?location=Location1,Schans,"4655,620,266,78",KLAB05562000064
